Class,Lon,Lat,B10,B11,B1,B2,B3,B4,B5,NO2_column_number_density,B6,B7,sr_aerosol,system:index
develop,-117.3343245,33.89067884,3134.4890932402627,3087.6149831267458,646.0549983293834,824.0204919190518,1235.732191231748,1563.8727567219719,2439.3276486772675,8.989612655484452E-5,2978.8838601668804,2315.577064734791,123.99897721311751,35_0
develop,-117.3347537,33.89012666,3134.449091948468,3087.58010223207,645.5499143761099,823.42753991734,1234.9376525454074,1562.8365721666814,2438.596942228871,8.989950477249584E-5,2978.0410532324267,2314.662983301666,124.0317077604763,36_0
develop,-117.3320285,33.89436586,3134.8084614951117,3087.900934053025,649.3161786639267,827.84440996302,1240.90161313914,1570.7595050742232,2444.6108487309584,8.98933356136001E-5,2985.2223348820717,2322.0088070774277,123.76457374693038,37_0
develop,-117.3315136,33.89563045,3134.9015348168896,3087.9845750643203,650.2335651302242,828.9198583633292,1242.3576333423212,1572.7062108649302,2446.124186990023,8.98935162429317E-5,2987.04834742916,2323.843056088178,123.6977222609559,38_0
develop,-117.3545162,33.89725124,3135.625321025503,3088.7297860924596,647.7700122134801,825.957901302918,1239.107824213,1570.74120053607,2451.4483435143056,9.020181663902241E-5,2997.051966461328,2327.7817960762045,123.46730453409,39_0
develop,-117.345504,33.89896105,3135.592900307418,3088.6689336956324,650.67685711888,829.3903918083895,1243.5021583041428,1575.823405577978,2453.1180790771486,9.009903737089425E-5,2997.876094174806,2330.647747396669,123.38988737918606,40_0
develop,-117.3022882,33.8944371,3134.0733938117087,3087.120995521181,654.2073183440464,833.6716107517,1247.838784754438,1577.0486288245017,2440.910493445984,8.950535145923317E-5,2976.2738313686,2320.692811289993,123.91510132921053,41_0
develop,-117.3063652,33.89262033,3133.9877703015254,3087.056527335938,652.1245902224523,831.220408341446,1244.6230479477526,1573.0684285743603,2438.7388292357323,8.954557129596804E-5,2974.137231983016,2317.73073255481,124.00813319248084,42_0
develop,-117.301902,33.89376027,3133.9875844833655,3087.0412498210057,653.64420298187,833.0135958674891,1246.9285969991927,1575.769420505966,2439.738944021782,8.949664781192251E-5,2974.768892109325,2319.3434120268994,123.96443597616135,43_0
develop,-117.3010866,33.89180099,3133.7829980091706,3086.8505423179504,652.3609855041794,831.5148012940929,1244.8488161549744,1572.825934892282,2436.987358488538,8.947402453969194E-5,2971.20963268001,2316.1919941441033,124.08007292845217,44_0
develop,-117.321643,33.885816,3133.7016299823686,3086.847327720866,644.4535949213471,822.1903458225203,1232.7825839373702,1558.442643135447,2430.838530242806,8.970025685858029E-5,2966.417496835743,2306.8834044462174,124.35892299061301,45_0
forest,-116.9582535,34.14825996,3148.4819067152102,3098.9827845942036,847.3547143784707,1060.6923905696226,1539.8910182360223,1926.2315963673564,2585.45719068042,8.606121140396388E-5,3080.0221399784714,2522.0044261721914,125.84531297624238,46_0
forest,-116.9362809,34.15053297,3148.00288457202,3098.453366963574,848.645678331708,1062.2657764066487,1540.7792372843096,1923.9816321703602,2573.265820678011,8.574304127534967E-5,3059.5595523645757,2509.668206773685,126.94830263520015,47_0
forest,-116.9074418,34.15394237,3147.4358592337912,3097.8150603075505,850.5925487325455,1064.6249153295344,1542.3249517854174,1921.5067936377127,2557.51777270503,8.532936275975817E-5,3032.9278470805066,2493.742967946233,128.41934081505448,48_0
forest,-116.7193009,33.80319393,3112.025652582014,3064.929748424848,713.696746548452,905.4206050366834,1329.9293989776688,1635.652808960037,2344.116851434024,8.173438873525182E-5,2787.7851600108384,2268.118189400026,122.95470159930221,49_0
forest,-116.7302872,33.78150951,3110.44572919118,3063.5388754855567,702.6680494671014,892.5012157281253,1313.5064095352016,1616.1993417389058,2337.2218092237044,8.181915866227011E-5,2784.318094200474,2259.3375744782293,122.19858641728878,50_0
forest,-116.715181,33.77694366,3109.7271731811807,3062.8343331939896,704.4004340455584,894.5902397006289,1316.1828154659834,1618.9810314153053,2337.480455853173,8.162509584643938E-5,2783.847686874647,2261.342950589137,121.77780796088716,51_0
forest,-117.5304498,33.71927899,3116.438966732422,3071.8426674327275,473.3151251740518,616.5657571456985,944.3117169129418,1172.7006279729935,2110.2347830572207,9.049392557397103E-5,2579.2891432733095,1920.6821210026142,137.61031336554726,52_0
forest,-117.5071038,33.71299633,3119.28907189855,3074.237598254512,464.58886744941725,609.9337176342176,943.1872408107606,1173.2916875774522,2130.4839727450467,9.059953986291033E-5,2604.8454868566328,1936.7697697819103,139.55145143530626,53_0
forest,-117.4665918,33.67243361,3115.521898312896,3070.592595873734,438.0318704613943,580.0575671495121,903.5180975594003,1115.8027206606077,2077.2229943662965,8.994729636884708E-5,2533.3712524380016,1875.2212571664268,142.66490223995464,54_0
forest,-117.481698,33.67471934,3116.063251885781,3071.137183381641,435.5899619445058,577.1414683945986,899.8241988832314,1111.8723177191362,2076.8122898722804,9.013795718533743E-5,2534.1168310544176,1873.0948820863036,142.95520816852905,55_0
forest,-117.5335397,33.71870786,3115.9407591295994,3071.413228271244,473.28723654449396,616.0762368276964,942.606646125188,1170.0408712367735,2105.3058236394413,9.046978449168699E-5,2573.0050733917337,1915.860365162897,137.48558686231078,56_0
forest,-117.545556,33.73384155,3115.748424954511,3071.3434547547918,487.5197693204157,630.9899251199232,959.3376969095904,1192.4209907735112,2116.0251615303655,9.051980747470458E-5,2587.219321552039,1932.3653661512908,135.46576418003517,57_0
forest,-117.6152505,33.8014822,3113.1822929900595,3069.498988664989,547.7556532427843,692.2686781533159,1023.6319169456392,1277.4807125310865,2142.590205459629,9.074280390735168E-5,2625.1406704654964,1984.580746060598,126.41373266040833,58_0
forest,-117.5177469,33.72213459,3118.633138799893,3073.738372276702,474.0359054804209,619.3577673009821,952.557039941464,1185.4015346795268,2132.4869059832818,9.060184790642473E-5,2607.6659350612917,1942.6963186062203,138.07732877619316,59_0
forest,-117.5328531,33.71642329,3115.7646948461115,3071.247084873062,471.17196753312066,613.6697352917918,939.4305756580948,1165.6387351132998,2101.6907330780577,9.045293942398883E-5,2568.3233863139612,1911.437628354014,137.73271148833308,60_0
grass,-117.404166,33.8498554,3132.08981789585,3085.648111844344,601.1390550377827,771.2090354188012,1165.5153088891411,1474.2451522605409,2381.609078825765,9.05059528766779E-5,2915.3302758305854,2240.5011677701914,126.85692986583234,61_0
grass,-117.3972138,33.85028309,3131.978820170441,3085.5222919167472,602.914190277561,773.311343139278,1168.1780425360248,1477.2050168795588,2382.2132815631066,9.042113613588611E-5,2915.189898040415,2241.9357199940478,126.79637435346467,62_0
grass,-117.3896177,33.84714663,3131.477805240511,3085.0358296944196,601.7502315413296,771.9755555240818,1166.0908710489973,1473.5301410323643,2376.8251360143313,9.03027899987983E-5,2907.3739664386326,2236.370860619561,127.01746427570217,63_0
grass,-117.3913344,33.84390311,3131.19869951664,3084.785425143876,598.7797068736163,768.4921357704492,1161.3582577788375,1467.1708731693852,2371.7659860183685,9.030373399477969E-5,2901.196011590036,2230.219691384573,127.26617994387816,64_0
grass,-117.39863,33.84443777,3131.4230114339853,3085.01633967856,597.7997865455145,767.3195466786614,1159.9814198578997,1466.014328923118,2372.806895432082,9.039933295726763E-5,2903.449130092231,2230.6929182218514,127.25296866584296,65_0
grass,-117.4040802,33.84522192,3131.6303284414503,3085.225273653536,597.4101204196074,766.8444805840484,1159.5039046691284,1465.9103942524564,2374.245557038636,9.047311605364285E-5,2905.968310516472,2231.8298218322793,127.21069740584859,66_0
grass,-117.4155386,33.84433084,3131.8143263967795,3085.4327176377806,594.5518749699771,763.4591735522454,1155.212531052367,1461.1325285337855,2373.2384668465147,9.061009688225267E-5,2906.1370436767315,2229.473583106985,127.31545941410383,67_0
grass,-117.419401,33.84700406,3132.1802394303177,3085.783134732668,595.985081771875,765.1225279584712,1157.639079676612,1464.9219109654946,2377.7551914625647,9.068069792580262E-5,2912.4085789919745,2234.375975654611,127.11523501425657,68_0
grass,-117.4219759,33.85178,3132.7256962688557,3086.2934225278327,599.5190701715205,769.250551787269,1163.410920783514,1473.1900109918513,2385.795735670577,9.074672025348976E-5,2922.967466859449,2243.596990678794,126.7334857539127,69_0
grass,-117.4132212,33.84864359,3132.1972035196513,3085.77786551872,598.5048835668312,768.0936677297693,1161.5278398943979,1469.6714942857566,2380.190295505494,9.061408736521059E-5,2914.7104639062036,2237.884378312906,126.96752428507064,70_0
grass,-117.385927,33.84507935,3131.2071200642126,3084.7749810704827,600.9109679223383,771.005619702195,1164.6417978166153,1471.162027637544,2373.750678700075,9.0245251366675E-5,2903.023360866148,2233.113425772676,127.14572174749959,71_0
grass,-117.3809918,33.84301202,3130.8720246716907,3084.449452735737,600.1797328549729,770.1678626484411,1163.3232566050735,1468.8107297926554,2370.2427150903177,9.016553525485865E-5,2897.9204307904183,2229.5133988817697,127.28503032618596,72_0
grass,-117.3912056,33.84126544,3130.9498538280873,3084.555578823583,596.8773671688155,766.2665423252377,1158.2863151032773,1462.8886128078977,2367.922233436611,9.028317422359771E-5,2896.2832722094045,2225.7221980556587,127.44694468041392,73_0
grass,-117.3949822,33.84714663,3131.6043699593943,3085.1704792508604,600.7114658171047,770.7407757825317,1164.5680257566771,1471.9791085878849,2376.9927135725716,9.037088151717739E-5,2908.28110383563,2236.0114218871377,127.03508062499122,74_0
grass,-117.3959263,33.8430833,3131.2250027245227,3084.8250683337287,597.2336085407417,766.6663713411457,1158.9941648584397,1464.3681230745422,2370.5928161670436,9.035575825330114E-5,2900.29212780717,2228.364610693473,127.34503232192174,75_0
highway,-117.2565088,33.85582306,3129.2133987702005,3082.500581165947,633.8372151908899,809.9974033953615,1213.972299529399,1525.8731382378162,2384.4154663864274,8.867534424450488E-5,2899.5179058599356,2259.016808235876,126.12545893943206,76_0
highway,-117.2565517,33.85532412,3129.1611719771017,3082.452666286212,633.4475503265764,809.5414768344551,1213.3500480287894,1525.0226839452848,2383.704587837298,8.867204638088837E-5,2898.6360735491967,2258.182395452514,126.153148727846,77_0
highway,-117.2563157,33.85462915,3129.0828317874534,3082.3807939666094,632.8630530301035,808.8575869930926,1212.4166707778716,1523.7470025064817,2382.6382700135982,8.866709958546357E-5,2897.313325083082,2256.930776277466,126.19468341046709,78_0
highway,-117.2560368,33.85443314,3129.050345053387,3082.350058947347,632.7189509463843,808.6899449415832,1212.1795939909268,1523.3961218293678,2382.270623129778,8.86620321517464E-5,2896.821642810534,2256.5269659737064,126.20799065135063,79_0
highway,-117.2558222,33.85384509,3128.9917516044857,3082.2953731699313,632.3801953842478,808.2945496478571,1211.6317015723746,1522.6204888434713,2381.548104190849,8.86553178493308E-5,2895.889845752588,2255.7066271817716,126.23509194730931,80_0
